,id,handle,tweet
0,1254162422711099405,qerese,"Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus https://t.co/7w6nB0tGQz via @BostonGlobe"
1,1254162421796663297,GlantonholdenJ,Donald Trump is a child. https://t.co/4KosSyiyCV
2,1254162417262657536,billkempin,"My ""economic impact payment"" arrived in the mail today. Donald Trump's name is on the $1,200 check, but it's not his signature. So I wasted $90 taking a MasterClass on forgery."
3,1254162414477533185,RogueAmerican_1,@realDonaldTrump We have 330 million Americans Donald Trump. Get to work.
4,1254162409335541766,ceebright,"@DonaldJTrumpJr @nytimes @JoeBiden At least 17 women have accused Donald Trump of varying inappropriate behavior, including allegations of sexual harassment or sexual assault: 
1. Jessica Leeds
2. Kristin Anderson
3. Jill Harth
4. Cathy Heller
5. Temple Taggart McDowell
6. Karena Virginia
7. Bridget Sullivan..."
5,1254162400703664137,jeremyspangler,"Today at Donald Trump's interview 
#coronavirus 
#Covid_19 
#COVID 
#NEWSで妄想 
#NEWSに恋して 
#NEWSで妄想ピンク 
#NEWS
#NewsToday https://t.co/pVk5TJOkmR"
6,1254162393610899456,LindaMottet,Seriously dark and empty man named Donald Trump. https://t.co/a6Rg1Jw16A
7,1254162392251957248,unfinis06265716,"@leashless @steel_weaver @davidsteven Who would you personally have emergency-replace Donald Trump?

(It's fine to pick more than one person to hypothetically replace him -- a duo or trio might be better than a single replacement-president right now, anyway)."
8,1254162388930174978,amylynnerock,@DonaldJTrumpJr @nytimes @JoeBiden All the President's Women: Donald Trump and the Making of a Predator https://t.co/VyBOIvlIli
9,1254162387554492416,geetee1207,"DONALD TRUMP HAS A SHARE IN A NEW YORK PROPERTY DEVELOPMENT THAT BORROWED TENS OF MILLIONS OF DOLLARS FROM CHINA 
Trump attack on Biden highlights president's own past dealings with China https://t.co/TIsTYNLP7x"
10,1254162382236024840,AndyRosedale,"If Donald Trump went to Hogwarts, which house would he be in?"
11,1254162373109301249,Bardnet,"""And with Donald Trump’s arrival on the political stage, [...] end result was U.S.-North Korean nuclear talks that were more flash than substance. That’s where they’ve remained since."""
12,1254162360371163138,noones123,@joncoopertweets Brain dead but still making more sense than Donald Trump.
13,1254162359083577347,northassoc,"Donald Trump was sued over a provision of the coronavirus relief package that could deny $1,200 stimulus checks to more than 1 million Americans married to immigrants https://t.co/iMQ4KDPuMw via @bpolitics"
14,1254162358836121605,amylynnerock,@DonaldJTrumpJr @nytimes @JoeBiden All the President's Women: Donald Trump and the Making of a Predator https://t.co/VyBOIvlIli
15,1254162341949661184,Rex82441872,"@WaywardWinifred Were you outraged when over 20 women accused Donald Trump of sexual assault? If I were a member of the Trumpites, I wouldn’t go there."
16,1254162335096205312,Darcy1968,Debacle of Trump's coronavirus disinfectant comments could be tipping point (really? after so many gaffes and terrifying POVs we have been inured to the madness). https://t.co/aX4xlPA3zi
17,1254162332814622720,Bronxny815,HI DONALD FUCK YOU https://t.co/2L9aO09uos
18,1254162331069755392,Goofyplus4,"Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus https://t.co/5lFrVi5xPZ via @BostonGlobe"
19,1254162330880966656,Dustin83261218,@NateGearyWGR His hands aren't THAT small...they are somewhere between Dr.Fauchi size hands and Donald Trump size hands.
20,1254162320022003713,smopu48,"@realDonaldTrump @SenCoryGardner very nice  Donald Trump,"
21,1254162318432145408,delbertcunning5,"@realDonaldTrump Another president who lied and hated the media was Richard Nixon, but Donald Trump is like Nixon on steroids! He was worried about Barak Obama's birth certificate but yet he won't provide tax returns, business information, won't let witnesses testify about his corruption?????"
22,1254162311113310210,aemcburney,"Kids: Then again, maybe it will be forgotten by the middle of next week. 

The Guardian: Debacle of Trump's coronavirus disinfectant comments could be tipping point.
https://t.co/9qzGLUpoaw

via @GoogleNews"
